Run 0 

Iteration 0: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 15 ;    value_best_iteration = 1770001431224 ;    
Iteration 1: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 29 ;    value_best_iteration = 1780001319958 ;    
Iteration 2: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 2 ;    value_best_iteration = 1790001261647 ;    
Iteration 3: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 31 ;    value_best_iteration = 1790001361318 ;    
Iteration 4: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 26 ;    value_best_iteration = 1820001228276 ;    
Iteration 5: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 29 ;    value_best_iteration = 1760001230195 ;    
Iteration 6: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 1780001355522 ;    
Iteration 7: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 26 ;    value_best_iteration = 1790001352862 ;    
Iteration 8: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 13 ;    value_best_iteration = 1810001321385 ;    
Iteration 9: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 27 ;    value_best_iteration = 1750001236116 ;    
Iteration 10: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 8 ;    value_best_iteration = 1760001254248 ;    
Iteration 11: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 28 ;    value_best_iteration = 1810001268816 ;    
Iteration 12: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 22 ;    value_best_iteration = 1720001295222 ;    
Iteration 13: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 37 ;    value_best_iteration = 1790001322053 ;    
Iteration 14: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1770001383864 ;    
Iteration 15: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 20 ;    value_best_iteration = 1750001328653 ;    
Iteration 16: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 25 ;    value_best_iteration = 1760001238999 ;    
Iteration 17: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 4 ;    value_best_iteration = 1750001348070 ;    
Iteration 18: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 1800001243272 ;    
Iteration 19: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 12 ;    value_best_iteration = 1800001185676 ;    
Iteration 20: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 10 ;    value_best_iteration = 1720001454165 ;    
Iteration 21: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 30 ;    value_best_iteration = 1740001427863 ;    
Iteration 22: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1920001174334 ;    
Iteration 23: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 31 ;    value_best_iteration = 1760001280355 ;    
Iteration 24: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 6 ;    value_best_iteration = 1770001229760 ;    
Iteration 25: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 18 ;    value_best_iteration = 1750001358335 ;    
Iteration 26: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1760001317202 ;    
Iteration 27: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 16 ;    value_best_iteration = 1700001282784 ;    
Iteration 28: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1930001225170 ;    
Iteration 29: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 12 ;    value_best_iteration = 1780001332522 ;    
Iteration 30: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 18 ;    value_best_iteration = 1750001337811 ;    
Iteration 31: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 24 ;    value_best_iteration = 1720001398495 ;    
Iteration 32: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 1790001361360 ;    
Iteration 33: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2060001022717 ;    
Iteration 34: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 5 ;    value_best_iteration = 1770001420527 ;    
Iteration 35: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2000001086343 ;    
Iteration 36: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 0 ;    value_best_iteration = 2000001317000 ;    
Iteration 37: value_global_best = 4083491 ;    number_particle_minimum_personal_best = 1 ;    value_minimum_personal_best = 4083491 ;    number_particle_minimum_best_iteration = 37 ;    value_best_iteration = 1790001238920 ;    
