acs_partitioned_graph; acs_whole_graph_sh; acs_whole_graph_gh; pso
m4n500s0.inp; 1 907 471,87; 1 792 976,2;  1 669 779,47; 2 123 793,0;
m4n500s1.inp; 1 882 290,9;  1 772 177,17; 1 647 177,1;  2 031 471,66;
m4n500s2.inp; 1 849 791,6;  1 744 799,5;  1 622 559,77; 1 976 068,33;
m4n500s3.inp; 1 862 938,1;  1 763 072,3;  1 621 051,27; 2 048 497,66;
m4n500s4.inp; 1 917 115,43; 1 818 209,6;  1 692 345,97; 1 998 835,66;
m8n500s0.inp; 1 918 195,6;  1 849 191,53; 1 629 913,67; 2 067 106,0;
m8n500s1.inp; 1 899 107,27; 1 830 007,6;  1 601 974,17; 2 075 172,33;
m8n500s2.inp; 1 911 267,93; 1 814 465,3;  1 618 260,03; 2 062 448,33;
m8n500s3.inp; 1 943 364,53; 1 855 759,23; 1 648 850,1;  2 121 903,66;
m8n500s4.inp; 1 949 359,6;  1 829 893,0;  1 623 609,67; 2 084 087,33;
